Path;Type;Description;Identifiant de la donnee;Libelle anglophone;Definition
\Modèle Objets Métier - MOM\Evénements\Annulateur évènement;\Univers\Univers\Terme métier;Un annulateur d'évènement est une personne ou un système responsable de l'annulation d'évènements planifiés au sein d'une institution financière. Cette fonction inclut la gestion des notifications d'annulation, la communication avec les participants, la réorganisation des calendriers, et la mise à jour des systèmes informatiques pour refléter les changements. L'annulateur d'évènement doit s'assurer que toutes les parties prenantes sont informées en temps opportun pour minimiser les perturbations et maintenir une organisation efficace. ;33afb358-ce49-44b0-98bf-79e0054195da;Event cancelling role identifier;
\Modèle Objets Métier - MOM\Evénements\Contact client en charge de l'acte;\Univers\Univers\Terme métier;Contact du Tiers client/souscripteur en charge de l'acte de gestion;c491ffae-b61b-40de-a494-9fb1eac77574;Third-Party Customer Action Contact;
\Modèle Objets Métier - MOM\Evénements\Contexte événement;\Univers\Univers\Terme métier;Dans le cadre d'événement pouvant intervenir à différents moments de vie, cela permet de préciser dans quel cadre l'événement est exécuté;b37e1143-e62b-4b0f-a6da-49d34306f473;Event Execution Context;
\Modèle Objets Métier - MOM\Evénements\Créateur événement;\Univers\Univers\Terme métier;Collaborateur à l'origine de la création de l'événement (étape initiale de l'événement);697746d0-e81c-41a4-b536-fc9cd326fd17;Event Initiating Role Identifier;
\Modèle Objets Métier - MOM\Evénements\Date d'annulation de l'évènement;\Univers\Univers\Terme métier;Date d'annulation d'évènement;9e2bdccc-4956-4243-b807-e918d3ef8794;Event cancelation date;
\Modèle Objets Métier - MOM\Evénements\Date d'effet d'origine de l'événement;\Univers\Univers\Terme métier;Date d'effet de l'événement positionnée à l'origine de l'événement;1b67d1c6-9788-42fe-b3a4-bddba8525cab;Initial Activation Date;
\Modèle Objets Métier - MOM\Evénements\Date d'effet de l'événement;\Univers\Univers\Terme métier;"Date à partir de laquelle l'événement est considéré comme effectif.
Dans le cadre des actes de gestion nécessitant un paiement, elle correspond à la date d'exigibilité du montant";eba8f83d-4329-4e49-b31d-5123cc034887;Activation Date;
\Modèle Objets Métier - MOM\Evénements\Date d'exécution événement;\Univers\Univers\Terme métier;Date à laquelle l'événement a terminé d'être exécuté;b8b81057-10ee-4b68-b6ca-c5d9ef583f90;Event execution date;
\Modèle Objets Métier - MOM\Evénements\Date de création événement;\Univers\Univers\Terme métier;Date à laquelle l'événement est créé;c85fddd3-1a4a-4d37-b206-7d17bf530f1a;Event creation date;
\Modèle Objets Métier - MOM\Evénements\Date de mise à jour événement;\Univers\Univers\Terme métier;Date à laquelle événement a été modifié / instruit;fe965c8f-cca2-4d02-aeef-1377abebe937;Event Instruction Date;
\Modèle Objets Métier - MOM\Evénements\Date de suppression de l'événement;\Univers\Univers\Terme métier;Date de suppression de l'événement;34c21801-2651-4187-aa24-6fc707321fd5;Event deletion date;
\Modèle Objets Métier - MOM\Evénements\Date de validation événement;\Univers\Univers\Terme métier;La date de validation événement est la date à laquelle un événement spécifique, tel qu'une transaction financière, une mise à jour de données, ou une action administrative, est officiellement approuvé et validé par les autorités compétentes . ;d16ad9ee-820f-433b-bb03-6f9150d0f75f;Event validation date;
\Modèle Objets Métier - MOM\Evénements\Date limite de l'évènement;\Univers\Univers\Terme métier;Date limte à laquelle l'évènement doit avoir lieu;9797a8c0-aeb2-410f-96cb-616d72e8fcec;Event  deadline date;
